video,frame_idx,size_bytes
sample_1280x720_surfing_with_audio.flv.txt,2553,25536
sample_1280x720_surfing_with_audio.flv.txt,2565,25264
sample_1280x720_surfing_with_audio.flv.txt,2577,25173
sample_1280x720_surfing_with_audio.flv.txt,2589,25111
sample_1280x720_surfing_with_audio.flv.txt,2593,24677
sample_1280x720_surfing_with_audio.flv.txt,2605,24555
sample_1280x720_surfing_with_audio.flv.txt,2617,24462
sample_1280x720_surfing_with_audio.flv.txt,2629,24410
sample_1280x720_surfing_with_audio.flv.txt,2641,24427
sample_1280x720_surfing_with_audio.flv.txt,2645,27917
sample_1280x720_surfing_with_audio.flv.txt,2657,28415
sample_1280x720_surfing_with_audio.flv.txt,2669,28343
sample_1280x720_surfing_with_audio.flv.txt,2676,26942
sample_1280x720_surfing_with_audio.flv.txt,2688,26487
sample_1280x720_surfing_with_audio.flv.txt,2700,26035
sample_1280x720_surfing_with_audio.flv.txt,2712,25459
sample_1280x720_surfing_with_audio.flv.txt,2724,25103
sample_1280x720_surfing_with_audio.flv.txt,2736,24800
sample_1280x720_surfing_with_audio.flv.txt,2748,24708
sample_1280x720_surfing_with_audio.flv.txt,2760,24797
sample_1280x720_surfing_with_audio.flv.txt,2772,24793
sample_1280x720_surfing_with_audio.flv.txt,2784,24750
sample_1280x720_surfing_with_audio.flv.txt,2796,24650
sample_1280x720_surfing_with_audio.flv.txt,2808,24522
sample_1280x720_surfing_with_audio.flv.txt,2813,28344
sample_1280x720_surfing_with_audio.flv.txt,2825,28282
sample_1280x720_surfing_with_audio.flv.txt,2837,28381
sample_1280x720_surfing_with_audio.flv.txt,2849,28772
sample_1280x720_surfing_with_audio.flv.txt,2861,29152
sample_1280x720_surfing_with_audio.flv.txt,2873,29466
sample_1280x720_surfing_with_audio.flv.txt,2885,29544
sample_1280x720_surfing_with_audio.flv.txt,2897,26336
sample_1280x720_surfing_with_audio.flv.txt,2909,26360
sample_1280x720_surfing_with_audio.flv.txt,2921,26353
sample_1280x720_surfing_with_audio.flv.txt,2933,26414
sample_1280x720_surfing_with_audio.flv.txt,2939,32904
sample_1280x720_surfing_with_audio.flv.txt,2951,32738
sample_1280x720_surfing_with_audio.flv.txt,2963,31489
sample_1280x720_surfing_with_audio.flv.txt,2975,30307
sample_1280x720_surfing_with_audio.flv.txt,2981,26037
sample_1280x720_surfing_with_audio.flv.txt,2993,25682
