print meta info for videos/SampleVideo_640x360_2mb.mkv:
  duration time: 17.12 秒
  file size: 2.00 MB
  frame rate: 25.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #146: size before decode=2375 bytes, size after decode=460800 bytes, type=P, timestamp=3.520 seconds
frame #147: size before decode=1414 bytes, size after decode=460800 bytes, type=P, timestamp=3.560 seconds
frame #148: size before decode=1457 bytes, size after decode=460800 bytes, type=P, timestamp=3.600 seconds
frame #149: size before decode=1106 bytes, size after decode=460800 bytes, type=P, timestamp=3.640 seconds
frame #150: size before decode=2354 bytes, size after decode=460800 bytes, type=P, timestamp=3.680 seconds
frame #151: size before decode=1653 bytes, size after decode=460800 bytes, type=P, timestamp=3.720 seconds
frame #152: size before decode=1048 bytes, size after decode=460800 bytes, type=P, timestamp=3.760 seconds
frame #153: size before decode=2040 bytes, size after decode=460800 bytes, type=P, timestamp=3.800 seconds
frame #154: size before decode=2316 bytes, size after decode=460800 bytes, type=P, timestamp=3.840 seconds
frame #155: size before decode=1334 bytes, size after decode=460800 bytes, type=P, timestamp=3.880 seconds
frame #156: size before decode=1849 bytes, size after decode=460800 bytes, type=P, timestamp=3.920 seconds
frame #157: size before decode=2242 bytes, size after decode=460800 bytes, type=P, timestamp=3.960 seconds
frame #158: size before decode=293 bytes, size after decode=460800 bytes, type=P, timestamp=4.000 seconds
frame #159: size before decode=2505 bytes, size after decode=460800 bytes, type=P, timestamp=4.040 seconds
frame #160: size before decode=1945 bytes, size after decode=460800 bytes, type=P, timestamp=4.080 seconds
frame #161: size before decode=2554 bytes, size after decode=460800 bytes, type=P, timestamp=4.120 seconds
frame #162: size before decode=2920 bytes, size after decode=460800 bytes, type=P, timestamp=4.160 seconds
frame #163: size before decode=2990 bytes, size after decode=460800 bytes, type=P, timestamp=4.200 seconds
frame #164: size before decode=3132 bytes, size after decode=460800 bytes, type=P, timestamp=4.240 seconds
frame #165: size before decode=3048 bytes, size after decode=460800 bytes, type=P, timestamp=4.280 seconds
frame #166: size before decode=2892 bytes, size after decode=460800 bytes, type=P, timestamp=4.320 seconds
frame #167: size before decode=3036 bytes, size after decode=460800 bytes, type=P, timestamp=4.360 seconds
frame #168: size before decode=3156 bytes, size after decode=460800 bytes, type=P, timestamp=4.400 seconds
frame #169: size before decode=3537 bytes, size after decode=460800 bytes, type=P, timestamp=4.440 seconds
frame #170: size before decode=3767 bytes, size after decode=460800 bytes, type=P, timestamp=4.480 seconds
frame #171: size before decode=3584 bytes, size after decode=460800 bytes, type=P, timestamp=4.520 seconds
frame #172: size before decode=3498 bytes, size after decode=460800 bytes, type=P, timestamp=4.560 seconds
frame #173: size before decode=3282 bytes, size after decode=460800 bytes, type=P, timestamp=4.600 seconds
frame #174: size before decode=3422 bytes, size after decode=460800 bytes, type=P, timestamp=4.640 seconds
frame #175: size before decode=3639 bytes, size after decode=460800 bytes, type=P, timestamp=4.680 seconds
frame #176: size before decode=2513 bytes, size after decode=460800 bytes, type=P, timestamp=4.720 seconds
frame #177: size before decode=3058 bytes, size after decode=460800 bytes, type=P, timestamp=4.760 seconds
frame #178: size before decode=3336 bytes, size after decode=460800 bytes, type=P, timestamp=4.800 seconds
frame #179: size before decode=3294 bytes, size after decode=460800 bytes, type=P, timestamp=4.840 seconds
frame #180: size before decode=3500 bytes, size after decode=460800 bytes, type=P, timestamp=4.880 seconds
frame #181: size before decode=3511 bytes, size after decode=460800 bytes, type=P, timestamp=4.920 seconds
frame #182: size before decode=3615 bytes, size after decode=460800 bytes, type=P, timestamp=4.960 seconds
frame #183: size before decode=319 bytes, size after decode=460800 bytes, type=P, timestamp=5.000 seconds
frame #184: size before decode=3174 bytes, size after decode=460800 bytes, type=P, timestamp=5.040 seconds
frame #185: size before decode=3777 bytes, size after decode=460800 bytes, type=P, timestamp=5.080 seconds
frame #186: size before decode=3969 bytes, size after decode=460800 bytes, type=P, timestamp=5.120 seconds
frame #187: size before decode=4548 bytes, size after decode=460800 bytes, type=P, timestamp=5.160 seconds
frame #188: size before decode=4495 bytes, size after decode=460800 bytes, type=P, timestamp=5.200 seconds
frame #189: size before decode=4518 bytes, size after decode=460800 bytes, type=P, timestamp=5.240 seconds
frame #190: size before decode=4785 bytes, size after decode=460800 bytes, type=P, timestamp=5.280 seconds
frame #191: size before decode=3655 bytes, size after decode=460800 bytes, type=P, timestamp=5.320 seconds
frame #192: size before decode=3810 bytes, size after decode=460800 bytes, type=P, timestamp=5.360 seconds
frame #193: size before decode=3890 bytes, size after decode=460800 bytes, type=P, timestamp=5.400 seconds
frame #194: size before decode=3515 bytes, size after decode=460800 bytes, type=P, timestamp=5.440 seconds
frame #195: size before decode=3711 bytes, size after decode=460800 bytes, type=P, timestamp=5.480 seconds
frame #196: size before decode=3965 bytes, size after decode=460800 bytes, type=P, timestamp=5.520 seconds
frame #197: size before decode=3051 bytes, size after decode=460800 bytes, type=P, timestamp=5.560 seconds
frame #198: size before decode=2846 bytes, size after decode=460800 bytes, type=P, timestamp=5.600 seconds
frame #199: size before decode=2904 bytes, size after decode=460800 bytes, type=P, timestamp=5.640 seconds
frame #200: size before decode=3097 bytes, size after decode=460800 bytes, type=P, timestamp=5.680 seconds
frame #201: size before decode=2624 bytes, size after decode=460800 bytes, type=P, timestamp=5.720 seconds
frame #202: size before decode=2783 bytes, size after decode=460800 bytes, type=P, timestamp=5.760 seconds
frame #203: size before decode=3117 bytes, size after decode=460800 bytes, type=P, timestamp=5.800 seconds
frame #204: size before decode=2677 bytes, size after decode=460800 bytes, type=P, timestamp=5.840 seconds
frame #205: size before decode=2482 bytes, size after decode=460800 bytes, type=P, timestamp=5.880 seconds
frame #206: size before decode=2367 bytes, size after decode=460800 bytes, type=P, timestamp=5.920 seconds
frame #207: size before decode=2453 bytes, size after decode=460800 bytes, type=P, timestamp=5.960 seconds
frame #208: size before decode=80 bytes, size after decode=460800 bytes, type=P, timestamp=6.000 seconds
frame #209: size before decode=1659 bytes, size after decode=460800 bytes, type=P, timestamp=6.040 seconds
frame #210: size before decode=1446 bytes, size after decode=460800 bytes, type=P, timestamp=6.080 seconds
frame #211: size before decode=21325 bytes, size after decode=460800 bytes, type=I, timestamp=6.120 seconds
frame #212: size before decode=117 bytes, size after decode=460800 bytes, type=P, timestamp=6.160 seconds
frame #213: size before decode=56 bytes, size after decode=460800 bytes, type=P, timestamp=6.200 seconds
frame #214: size before decode=29 bytes, size after decode=460800 bytes, type=P, timestamp=6.240 seconds
frame #215: size before decode=24 bytes, size after decode=460800 bytes, type=P, timestamp=6.280 seconds
frame #216: size before decode=53 bytes, size after decode=460800 bytes, type=P, timestamp=6.320 seconds
frame #217: size before decode=35 bytes, size after decode=460800 bytes, type=P, timestamp=6.360 seconds
frame #218: size before decode=50 bytes, size after decode=460800 bytes, type=P, timestamp=6.400 seconds
frame #219: size before decode=34 bytes, size after decode=460800 bytes, type=P, timestamp=6.440 seconds
frame #220: size before decode=38 bytes, size after decode=460800 bytes, type=P, timestamp=6.480 seconds
frame #221: size before decode=52 bytes, size after decode=460800 bytes, type=P, timestamp=6.520 seconds
frame #222: size before decode=65 bytes, size after decode=460800 bytes, type=P, timestamp=6.560 seconds
frame #223: size before decode=90 bytes, size after decode=460800 bytes, type=P, timestamp=6.600 seconds
frame #224: size before decode=177 bytes, size after decode=460800 bytes, type=P, timestamp=6.640 seconds
frame #225: size before decode=228 bytes, size after decode=460800 bytes, type=P, timestamp=6.680 seconds
frame #226: size before decode=259 bytes, size after decode=460800 bytes, type=P, timestamp=6.720 seconds
frame #227: size before decode=267 bytes, size after decode=460800 bytes, type=P, timestamp=6.760 seconds
frame #228: size before decode=315 bytes, size after decode=460800 bytes, type=P, timestamp=6.800 seconds
frame #229: size before decode=303 bytes, size after decode=460800 bytes, type=P, timestamp=6.840 seconds
frame #230: size before decode=367 bytes, size after decode=460800 bytes, type=P, timestamp=6.880 seconds
frame #231: size before decode=338 bytes, size after decode=460800 bytes, type=P, timestamp=6.920 seconds
frame #232: size before decode=288 bytes, size after decode=460800 bytes, type=P, timestamp=6.960 seconds
frame #233: size before decode=42 bytes, size after decode=460800 bytes, type=P, timestamp=7.000 seconds
frame #234: size before decode=279 bytes, size after decode=460800 bytes, type=P, timestamp=7.040 seconds
frame #235: size before decode=276 bytes, size after decode=460800 bytes, type=P, timestamp=7.080 seconds
frame #236: size before decode=322 bytes, size after decode=460800 bytes, type=P, timestamp=7.120 seconds
frame #237: size before decode=386 bytes, size after decode=460800 bytes, type=P, timestamp=7.160 seconds
frame #238: size before decode=395 bytes, size after decode=460800 bytes, type=P, timestamp=7.200 seconds
frame #239: size before decode=431 bytes, size after decode=460800 bytes, type=P, timestamp=7.240 seconds
frame #240: size before decode=459 bytes, size after decode=460800 bytes, type=P, timestamp=7.280 seconds
frame #241: size before decode=431 bytes, size after decode=460800 bytes, type=P, timestamp=7.320 seconds
frame #242: size before decode=386 bytes, size after decode=460800 bytes, type=P, timestamp=7.360 seconds
frame #243: size before decode=434 bytes, size after decode=460800 bytes, type=P, timestamp=7.400 seconds
frame #244: size before decode=425 bytes, size after decode=460800 bytes, type=P, timestamp=7.440 seconds
frame #245: size before decode=467 bytes, size after decode=460800 bytes, type=P, timestamp=7.480 seconds
frame #246: size before decode=511 bytes, size after decode=460800 bytes, type=P, timestamp=7.520 seconds
frame #247: size before decode=572 bytes, size after decode=460800 bytes, type=P, timestamp=7.560 seconds
frame #248: size before decode=540 bytes, size after decode=460800 bytes, type=P, timestamp=7.600 seconds
frame #249: size before decode=579 bytes, size after decode=460800 bytes, type=P, timestamp=7.640 seconds
frame #250: size before decode=642 bytes, size after decode=460800 bytes, type=P, timestamp=7.680 seconds
frame #251: size before decode=680 bytes, size after decode=460800 bytes, type=P, timestamp=7.720 seconds
frame #252: size before decode=706 bytes, size after decode=460800 bytes, type=P, timestamp=7.760 seconds
frame #253: size before decode=835 bytes, size after decode=460800 bytes, type=P, timestamp=7.800 seconds
frame #254: size before decode=979 bytes, size after decode=460800 bytes, type=P, timestamp=7.840 seconds
frame #255: size before decode=1074 bytes, size after decode=460800 bytes, type=P, timestamp=7.880 seconds
frame #256: size before decode=1209 bytes, size after decode=460800 bytes, type=P, timestamp=7.920 seconds
frame #257: size before decode=1184 bytes, size after decode=460800 bytes, type=P, timestamp=7.960 seconds
frame #258: size before decode=61 bytes, size after decode=460800 bytes, type=P, timestamp=8.000 seconds
frame #259: size before decode=949 bytes, size after decode=460800 bytes, type=P, timestamp=8.040 seconds
frame #260: size before decode=890 bytes, size after decode=460800 bytes, type=P, timestamp=8.080 seconds
frame #261: size before decode=914 bytes, size after decode=460800 bytes, type=P, timestamp=8.120 seconds
